NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;comedy;music;romance;drama;action;adventure;sci-fi;western;crime;thriller;fantasy;horror;history;musical;mystery;animation;biography;family;sport;war
Killing Them Softly;crime/thriller;15000000;37930465;United States;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Wrath of the Titans;action/adventure/fantasy;150000000;305270083;England;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Underworld: Awakening;action/fantasy/horror;70000000;160112671;Canada;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Rise of the Guardians;animation/adventure/family;145000000;306900000;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Mirror Mirror;adventure/comedy/drama;85000000;166170922;Canada;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rock of Ages;comedy/drama/musical;75000000;59418613;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Red Dawn;action/thriller/war;65000000;48169726;United States;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
The Watch;comedy/sci-fi;68000000;68300000;Georgia;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
LOL;comedy/drama/romance;11000000;18279948;France;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Think Like a Man;comedy/romance;12000000;96070507;United States;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Resident Evil: Retribution;action/horror/sci-fi;65000000;240159255;Canada;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Hitchcock;biography/drama;0;27586114;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Abraham Lincoln: Vampire Hunter;action/fantasy/horror;69000000;116471580;United States;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Bachelorette;comedy/romance;3000000;11947954;United States;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
On the Road;adventure/drama;25000000;8784318;United States;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Man on a Ledge;action/crime/thriller;42000000;46221189;United States;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Act of Valor;action/thriller/war;12000000;81272766;United States;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Wanderlust;comedy;35000000;24156599;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Paperboy;drama/thriller;12500000;2424372;United States;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
To the Wonder;drama/romance;0;2783139;France;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Baytown Outlaws;action/comedy/crime;4000000;0;United States;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bullet to the Head;action/crime/thriller;55000000;13561515;United States;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Ruby Sparks;comedy/drama/fantasy;0;9128263;United States;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
The Words;drama/mystery/romance;6000000;13231461;Canada;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
