NASLOVI FILMOV;OCENA;LETNICA NASTANKA;ZANR;STEVILO NOMINACIJ;STEVILO NAGRAD;KRAJ;crime;drama;biography;history;sport;romance;war;mystery;adventure;family;fantasy;horror;thriller;film-noir;musical;action;sci-fi;comedy;music;western;BUDGET;BOX OFFICE
City Lights;8,6;1931;comedy/drama/romance;0;0;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1100000;5700000
The King's Speech;8,1;2010;biography/drama/history;30;10;England;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000000;414211549
It Happened One Night;8,3;1934;comedy/romance;5;5;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;325000;2500000
A Place in the Sun;7,9;1951;drama/romance;13;7;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2295304;7000000
Midnight Cowboy;8;1969;drama;20;10;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3200000;44785053
Mr. Smith Goes to Washington;8,3;1939;drama;11;1;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;9000000
Rain Man;8;1988;drama;15;6;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25000000;354800000
Annie Hall;8,2;1977;comedy/drama/romance;16;10;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4000000;38251425
Out of Africa;7,2;1985;biography/drama/romance;24;13;England;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28000000;128499205
Good Will Hunting;8,2;1997;drama;13;3;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000000;225900000
Terms of Endearment;7,4;1983;comedy/drama;18;9;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8000000;108423489
Tootsie;7,4;1982;comedy/drama/romance;24;6;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;22000000;177200000
Fargo;8,2;1996;crime/drama/thriller;17;3;United States;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7000000;60611975
Giant;7,7;1956;drama/romance;11;1;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5400000;39000000
The Grapes of Wrath;8,2;1940;drama;7;2;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800000;2500000
Shane;7,7;1953;drama/romance/western;8;1;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3100000;20000000
The Green Mile;8,5;1999;crime/drama/fantasy;5;0;United States;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60000000;290701374
Close Encounters of the Third Kind;7,7;1977;drama/sci-fi;20;2;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18000000;303788635
Network;8,2;1976;drama;24;9;Canada;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3800000;23689877
Nashville;7,8;1975;drama/music;21;3;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2200000;9984123
The Graduate;8,1;1967;comedy/drama/romance;21;11;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3000000;104901839
American Graffiti;7,5;1973;comedy/drama;10;2;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;777000;140000000
Pulp Fiction;9;1994;crime/drama/thriller;21;4;United States;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8500000;213900000
The African Queen;8;1951;adventure/romance/war;7;1;England;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1000000;10750000
Stagecoach;7,9;1939;adventure/western;7;2;United States;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;531374;1103757
Mutiny on the Bounty;7,9;1935;adventure/drama/history;8;1;United States;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1950000;4460000
The Maltese Falcon;8,2;1941;drama/film-noir/mystery;3;0;United States;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;375000;0
A Clockwork Orange;8,4;1971;crime/drama/sci-fi;14;0;England;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2200000;26600000
Taxi Driver;8,4;1976;crime/drama;12;2;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1300000;28262574
Wuthering Heights;7,8;1939;drama/romance;8;1;United States;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624643
Double Indemnity;8,4;1944;crime/drama/film-noir;7;0;United States;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;980000;5000000
Rebel Without a Cause;7,8;1955;drama;5;0;United States;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500000;4500000
Rear Window;8,6;1954;mystery/thriller;5;0;United States;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1000000;36764313
The Third Man;8,4;1949;film-noir/thriller;5;2;Austria;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;596349
North by Northwest;8,5;1959;mystery/thriller;3;0;United States;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4326000;9840000
Yankee Doodle Dandy;7,8;1942;biography/drama/musical;8;3;United States;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11800000
