NASLOVI FILMOV;ZANR;BUDGET;BOX OFFICE;KRAJ;action;adventure;comedy;drama;biography;romance;music;mystery;thriller;animation;fantasy;sci-fi;war;crime;history;sport;musical;family;western;horror
Teenage Mutant Ninja Turtles;action/adventure/comedy;125000000;482100000;United States;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Beyond the Lights;drama/music;7000000;14600000;United States;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
The Giver;drama/sci-fi;25000000;67000000;South Africa;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
The Lego Movie;animation/adventure/comedy;60000000;468100000;Australia;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Son of a Gun;action/crime/drama;0;0;Australia;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
It Follows;horror;0;0;United States;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Annabelle;horror;6500000;255273813;United States;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Eliza Graves;thriller;0;0;Bulgaria;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Need for Speed;action/crime/drama;66000000;203300000;United States;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Outcast;action/adventure;0;0;China;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Expelled;comedy;0;0;United States;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This Is Where I Leave You;comedy/drama;19800000;41000000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Gambler;crime/drama/thriller;25000000;39200000;United States;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
Two Night Stand;comedy/romance;1600000;18612;United States;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St. Vincent;comedy/drama;13000000;53300000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ouija;horror;5000000;99000000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Big Eyes;biography/drama;10000000;22900000;Canada;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Everly;action/thriller;0;0;Serbia;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Leviafan;drama;0;0;Russia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Exodus: Gods and Kings;action/adventure/drama;140000000;265400000;England;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Expendables 3;action/adventure/thriller;90000000;206200000;Bulgaria;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Annie;comedy/drama/family;65000000;125800000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
The Other Woman;comedy/romance;40000000;196800000;United States;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transformers: Age of Extinction;action/adventure/sci-fi;210000000;1091405097;United States;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
American Heist;action;10000000;0;Canada;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Babadook;drama/horror/thriller;2000000;4900000;Australia;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
300: Rise of an Empire;action/drama/fantasy;110000000;337600000;Bulgaria;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Dawn of the Planet of the Apes;action/drama/sci-fi;170000000;708800000;United States;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Transcedence;drama/mystery/sci-fi;100000000;103000000;United States;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Tusk;comedy/drama/horror;2800000;1800000;United States;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Night at the Museum: Secret of the Tomb;adventure/comedy/family;127000000;332800000;England;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
