NASLOV FILMOV;ZANR;BUDGET;BOX OFFICE ($);KRAJ;action;mystery;sci-fi;comedy;romance;drama;thriller;biography;adventure;crime;animation;family;musical;fantasy;horror;history;sport;western;music;war
The Company Men;drama;15000000;4882577;United States;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Last Song;drama/romance;20000000;89000000;United States;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
She's Out of My League;comedy/romance;20000000;49000000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Nightmare on Elm Street;horror/mystery/thriller;27000000;115664037;United States;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
The Karate Kid;action/drama/family;40000000;359126022;China;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
It's Kind of a Funny Story;comedy/drama/romance;8000000;6491240;United States;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Killers;action/comedy/romance;75000000;98159963;United States;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Due Date;comedy;65000000;211780824;United States;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Legion;action/fantasy/horror;26000000;67918658;United States;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Megamind;animation/action/comedy;130000000;321885765;United States;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Don't Be Afraid of the Dark;fantasy/horror/thriller;25000000;36993168;Australia;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
Eat Pray Love;drama/romance;60000000;204594016;Indonesia;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
When in Rome;comedy/romance;0;43000000;United States;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The American;crime/drama/thriller;20000000;67876281;Italy;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Frozen;drama/thriller;0;3151086;United States;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Machete;action/crime/thriller;10500000;44093316;United States;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
The Way Back;adventure/drama/history;30000000;20348249;Morocco;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
The Tourist;action/romance/thriller;100000000;278300000;Italy;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Salt;action/crime/mystery;110000000;293593354;Russian Federation;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
The Kids Are All Right;comedy/drama;3500000;34705850;United States;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unstoppable;action/thriller;100000000;167805466;United States;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Date Night;comedy/crime/romance;55000000;152269033;United States;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Jonah Hex;action/drama/fantasy;47000000;10903112;United States;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
